Date,Code,MACD,DMI,PSY_VR,KDJ,WR(s),WR(l),RSI,BIAS,ARBR,BULL,CurrentState,FutureState,PredictState
2023-6-2,002415,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,002459,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Buy,Wait,Wait,1,-1,1
2023-6-2,002460,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002466,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002475,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002493,Buy,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,002555,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,002594,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,002600,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002601,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,002602,Wait,Wait,Wait,Wait,Sell,Sell,Sell,Sell,Wait,Wait,0,-1,-1
2023-6-2,002648,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Sell,Wait,Buy,1,-1,-1
2023-6-2,002709,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002714,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002736,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002756,Buy,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002812,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,002821,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,002841,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Buy,1,1,-1
2023-6-2,002916,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,002920,Wait,Wait,Wait,Wait,Sell,Sell,Sell,Sell,Wait,Sell,1,1,-1
2023-6-2,002938,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,300014,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300015,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300033,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,300059,Buy,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300122,Buy,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300124,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Sell,-1,1,-1
2023-6-2,300142,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300207,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,300223,Wait,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,-1,1,1
2023-6-2,300274,Wait,Sell,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300316,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300347,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,300408,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Sell,-1,-1,-1
2023-6-2,300413,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,300433,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Sell,1,1,-1
2023-6-2,300450,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300454,Wait,Wait,Wait,Wait,Sell,Sell,Sell,Sell,Wait,Sell,1,-1,-1
2023-6-2,300496,Wait,Wait,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,1,1,-1
2023-6-2,300498,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300529,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300595,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300601,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
